date,city_public,store_code,store_name_public,gmv,orders,qty,aov,items_per_order,active_sku,oneprice_share,pinghaofan_share
2026-01-06,City_02,S06,Store_06,2217.2000000000003,122,138,18.17377049180328,1.1311475409836065,39,0.0,0.087362439112394
2026-01-06,City_02,S07,Store_07,2183.28,140,143,15.594857142857144,1.0214285714285714,36,0.0,0.0
2026-01-06,City_02,S10,Store_10,979.62,68,69,14.406176470588235,1.0147058823529411,30,0.0,0.0
2026-01-07,City_01,S04,Store_04,2092.7000000000003,135,150,15.501481481481484,1.1111111111111112,45,0.0,0.0975295073350217
2026-01-07,City_01,S05,Store_05,1333.4,81,96,16.46172839506173,1.1851851851851851,40,0.0,0.023548822558872
2026-01-07,City_01,S08,Store_08,1956.1,110,127,17.782727272727275,1.1545454545454543,38,0.0,0.0882879198404989
2026-01-07,City_01,S09,Store_09,2629.58,176,197,14.940795454545452,1.119318181818182,48,0.0,0.041793746529864
2026-01-07,City_01,S11,Store_11,1133.0,91,116,12.45054945054945,1.2747252747252746,36,0.0,0.1524271844660194
2026-01-07,City_01,S12,Store_12,2742.4,179,211,15.320670391061451,1.1787709497206704,50,0.0,0.1087733372228704
2026-01-07,City_01,S13,Store_13,975.7,65,80,15.010769230769233,1.2307692307692308,35,0.0,0.0643640463257148
2026-01-07,City_02,S01,Store_01,734.51,41,45,17.914878048780487,1.0975609756097562,19,0.0,0.3033314726824685
2026-01-07,City_02,S02,Store_02,1315.8,72,80,18.275,1.1111111111111112,32,0.0,0.0
2026-01-07,City_02,S03,Store_03,1995.9,111,135,17.981081081081083,1.2162162162162162,40,0.0,0.0298612154917581
2026-01-07,City_02,S06,Store_06,2169.1,120,144,18.07583333333333,1.2,40,0.0,0.0274768337098335
2026-01-07,City_02,S07,Store_07,2508.04,150,155,16.720266666666667,1.0333333333333334,38,0.0,0.0
2026-01-07,City_02,S10,Store_10,1191.74,65,67,18.33446153846154,1.0307692307692309,26,0.0,0.0
2026-01-08,City_01,S04,Store_04,2138.2,145,167,14.746206896551724,1.1517241379310346,46,0.0,0.1615377420260031
2026-01-08,City_01,S05,Store_05,1150.7,76,93,15.140789473684212,1.2236842105263157,38,0.0,0.0545754757973407
2026-01-08,City_01,S08,Store_08,2153.4,131,160,16.438167938931297,1.2213740458015268,44,0.0,0.0947803473576669
2026-01-08,City_01,S09,Store_09,2808.54,185,221,15.181297297297297,1.1945945945945946,48,0.0,0.044720744586155
2026-01-08,City_01,S11,Store_11,1117.4,71,80,15.738028169014086,1.1267605633802815,35,0.0,0.0281009486307499
2026-01-08,City_01,S12,Store_12,3325.9,206,246,16.14514563106796,1.194174757281553,47,0.0,0.1085721158182747
2026-01-08,City_01,S13,Store_13,800.1,54,62,14.816666666666666,1.148148148148148,29,0.0,0.1962254718160229
2026-01-08,City_02,S01,Store_01,800.3,48,51,16.672916666666666,1.0625,26,0.0,0.210421092090466
2026-01-08,City_02,S02,Store_02,1193.6,72,83,16.57777777777778,1.1527777777777777,30,0.0,0.0
2026-01-08,City_02,S03,Store_03,2185.6000000000004,114,125,19.171929824561406,1.0964912280701755,44,0.0,0.0272693997071742
2026-01-08,City_02,S06,Store_06,1378.3,80,89,17.228749999999998,1.1125,35,0.0,0.1297250235797722
2026-01-08,City_02,S07,Store_07,2252.12,144,153,15.639722222222222,1.0625,41,0.0,0.0
2026-01-08,City_02,S10,Store_10,980.32,74,78,13.247567567567568,1.054054054054054,30,0.0,0.0
2026-01-09,City_01,S04,Store_04,3149.6,218,266,14.447706422018348,1.220183486238532,48,0.0,0.1196342392684785
2026-01-09,City_01,S05,Store_05,1495.5,111,122,13.472972972972974,1.0990990990990992,42,0.0,0.0629889669007021
2026-01-09,City_01,S08,Store_08,2506.1,145,171,17.283448275862067,1.179310344827586,45,0.0,0.0313235704880092
2026-01-09,City_01,S09,Store_09,3234.11,232,273,13.940129310344828,1.1767241379310345,53,0.0,0.0728175603179854
2026-01-09,City_01,S11,Store_11,1129.4,72,93,15.686111111111112,1.2916666666666667,35,0.0,0.0834071188241544
2026-01-09,City_01,S12,Store_12,3639.6,239,314,15.22845188284519,1.3138075313807531,53,0.0,0.0905868776788657
2026-01-09,City_01,S13,Store_13,1045.2,60,75,17.42,1.25,34,0.0,0.1652315346345197
2026-01-09,City_02,S01,Store_01,916.42,58,70,15.800344827586208,1.206896551724138,33,0.0,0.0742017852076558
2026-01-09,City_02,S02,Store_02,1521.2,73,85,20.83835616438356,1.1643835616438356,33,0.0,0.0
2026-01-09,City_02,S03,Store_03,2289.7000000000003,148,171,15.470945945945948,1.1554054054054057,44,0.0,0.0130148054330261
2026-01-09,City_02,S06,Store_06,2449.5,131,140,18.698473282442748,1.068702290076336,44,0.0,0.0851602367830169
2026-01-09,City_02,S07,Store_07,3307.06,200,210,16.5353,1.05,40,0.0,0.0
2026-01-09,City_02,S10,Store_10,622.26,45,48,13.828,1.0666666666666669,26,0.0,0.0
2026-01-10,City_01,S04,Store_04,3326.3,200,234,16.631500000000003,1.17,52,0.0,0.0991191413883293
2026-01-10,City_01,S05,Store_05,1160.8,73,91,15.9013698630137,1.2465753424657535,37,0.0,0.013525155065472
2026-01-10,City_01,S08,Store_08,2117.1,125,137,16.936799999999998,1.096,40,0.0,0.1112370695763072
2026-01-10,City_01,S09,Store_09,4098.18,271,333,15.122435424354244,1.2287822878228782,54,0.0,0.095554612047299
2026-01-10,City_01,S11,Store_11,1116.0,85,105,13.129411764705882,1.2352941176470589,35,0.0,0.0844086021505376
2026-01-10,City_01,S12,Store_12,4292.8,292,387,14.7013698630137,1.3253424657534247,53,0.0,0.0804603056280283
2026-01-10,City_01,S13,Store_13,869.9,44,50,19.770454545454545,1.1363636363636365,25,0.0,0.1082883090010345
2026-01-10,City_02,S01,Store_01,814.7,46,53,17.710869565217394,1.1521739130434785,20,0.0,0.150239351908678
